ensayo, seleccion, pago, total 
1,a,0.84,0.84
2,b,-1.08,-0.24
3,c,-0.94,-1.18
4,b,-1.08,-2.26
5,a,0.84,-1.42
6,c,-0.94,-2.36
7,b,-1.08,-3.44
8,c,-0.94,-4.38
9,b,-1.08,-5.46
10,a,0.84,-4.62
